"District","District Code","English Learner Status","Count","%"
"Park City Prep Charter School District","=""2830013""","English Learner Status","*","*"
"Bridgeport Achievement First District","=""2850013""","English Learner Status",28,26.2
"Achievement First Hartford Academy Inc. District","=""2880013""","English Learner Status",14,26.9
"Elm City College Preparatory School District","=""2890013""","English Learner Status","*","*"
"Elm City Montessori School District","=""2910013""","English Learner Status","N/A","*"
"Path Academy District","=""2930013""","English Learner Status",12,33.3
"Great Oaks Charter School District","=""2940013""","English Learner Status",6,"*"
"Connecticut Technical High School System","=""9000016""","English Learner Status",43,12.3
"Norwich Free Academy District","=""9010022""","English Learner Status",21,12.9
"The Gilbert School District","=""9020022""","English Learner Status",9,"*"
"Woodstock Academy District","=""9030022""","English Learner Status","N/A","*"
"Andover School District","=""0010011""","English Learner Status","*","*"
"Ansonia School District","=""0020011""","English Learner Status","*","*"
"Ashford School District","=""0030011""","English Learner Status","N/A","*"
"Avon School District","=""0040011""","English Learner Status","*","*"
"Berlin School District","=""0070011""","English Learner Status","*","*"
"Bethany School District","=""0080011""","English Learner Status","N/A","*"
"Bethel School District","=""0090011""","English Learner Status",7,6.4
"Bloomfield School District","=""0110011""","English Learner Status","*","*"
"Bolton School District","=""0120011""","English Learner Status","N/A","*"
"Bozrah School District","=""0130011""","English Learner Status","N/A","*"
"Branford School District","=""0140011""","English Learner Status","*","*"
"Bridgeport School District","=""0150011""","English Learner Status",337,11.0
"Bristol School District","=""0170011""","English Learner Status",36,9.7
"Brookfield School District","=""0180011""","English Learner Status","*","*"
"Brooklyn School District","=""0190011""","English Learner Status","N/A","*"
"Canaan School District","=""0210011""","English Learner Status","N/A","*"
"Canton School District","=""0230011""","English Learner Status","*","*"
"Chaplin School District","=""0240011""","English Learner Status","N/A","*"
"Cheshire School District","=""0250011""","English Learner Status","N/A","N/A"
"Clinton School District","=""0270011""","English Learner Status","*","*"
"Colchester School District","=""0280011""","English Learner Status","*","*"
"Cornwall School District","=""0310011""","English Learner Status","N/A","*"
"Coventry School District","=""0320011""","English Learner Status","N/A","*"
"Cromwell School District","=""0330011""","English Learner Status","*","*"
"Danbury School District","=""0340011""","English Learner Status",236,9.1
"Darien School District","=""0350011""","English Learner Status","N/A","N/A"
"Deep River School District","=""0360011""","English Learner Status","N/A","*"
"Derby School District","=""0370011""","English Learner Status",13,17.1
"East Granby School District","=""0400011""","English Learner Status","N/A","*"
"East Hampton School District","=""0420011""","English Learner Status","N/A","*"
"East Hartford School District","=""0430011""","English Learner Status",99,13.7
"East Haven School District","=""0440011""","English Learner Status",7,2.9
"East Lyme School District","=""0450011""","English Learner Status","*","*"
"Easton School District","=""0460011""","English Learner Status","N/A","*"
"East Windsor School District","=""0470011""","English Learner Status","N/A","N/A"
"Ellington School District","=""0480011""","English Learner Status","*","*"
"Enfield School District","=""0490011""","English Learner Status","*","*"
"Essex School District","=""0500011""","English Learner Status","N/A","*"
"Fairfield School District","=""0510011""","English Learner Status",18,8.6
"Farmington School District","=""0520011""","English Learner Status","N/A","N/A"
"Glastonbury School District","=""0540011""","English Learner Status","*","*"
"Granby School District","=""0560011""","English Learner Status","N/A","*"
"Greenwich School District","=""0570011""","English Learner Status",11,1.9
"Griswold School District","=""0580011""","English Learner Status","N/A","*"
"Groton School District","=""0590011""","English Learner Status",12,9.2
"Guilford School District","=""0600011""","English Learner Status","N/A","N/A"
"Hamden School District","=""0620011""","English Learner Status",15,5.3
"Hartford School District","=""0640011""","English Learner Status",625,16.0
"Hebron School District","=""0670011""","English Learner Status","N/A","*"
"Kent School District","=""0680011""","English Learner Status","N/A","*"
"Killingly School District","=""0690011""","English Learner Status","*","*"
"Lebanon School District","=""0710011""","English Learner Status","N/A","*"
"Ledyard School District","=""0720011""","English Learner Status","*","*"
"Lisbon School District","=""0730011""","English Learner Status","N/A","*"
"Litchfield School District","=""0740011""","English Learner Status","N/A","*"
"Madison School District","=""0760011""","English Learner Status","N/A","N/A"
"Manchester School District","=""0770011""","English Learner Status",27,7.4
"Mansfield School District","=""0780011""","English Learner Status","N/A","N/A"
"Marlborough School District","=""0790011""","English Learner Status","N/A","*"
"Meriden School District","=""0800011""","English Learner Status",123,10.3
"Middletown School District","=""0830011""","English Learner Status",18,9.9
"Milford School District","=""0840011""","English Learner Status","*","*"
"Monroe School District","=""0850011""","English Learner Status","N/A","*"
"Montville School District","=""0860011""","English Learner Status","*","*"
"Naugatuck School District","=""0880011""","English Learner Status",11,6.7
"New Britain School District","=""0890011""","English Learner Status",321,17.7
"New Canaan School District","=""0900011""","English Learner Status","N/A","N/A"
"New Fairfield School District","=""0910011""","English Learner Status","N/A","N/A"
"New Hartford School District","=""0920011""","English Learner Status","N/A","*"
"New Haven School District","=""0930011""","English Learner Status",162,5.1
"Newington School District","=""0940011""","English Learner Status",9,4.7
"New London School District","=""0950011""","English Learner Status",123,16.3
"New Milford School District","=""0960011""","English Learner Status",7,5.3
"Newtown School District","=""0970011""","English Learner Status","*","*"
"North Branford School District","=""0990011""","English Learner Status","*","*"
"North Canaan School District","=""1000011""","English Learner Status","N/A","*"
"North Haven School District","=""1010011""","English Learner Status","*","*"
"North Stonington School District","=""1020011""","English Learner Status","N/A","*"
"Norwalk School District","=""1030011""","English Learner Status",66,4.1
"Norwich School District","=""1040011""","English Learner Status",30,6.0
"Old Saybrook School District","=""1060011""","English Learner Status","*","*"
"Orange School District","=""1070011""","English Learner Status","N/A","N/A"
"Oxford School District","=""1080011""","English Learner Status","N/A","N/A"
"Plainfield School District","=""1090011""","English Learner Status","N/A","N/A"
"Plainville School District","=""1100011""","English Learner Status","*","*"
"Plymouth School District","=""1110011""","English Learner Status","*","*"
"Pomfret School District","=""1120011""","English Learner Status","N/A","*"
"Portland School District","=""1130011""","English Learner Status","N/A","N/A"
"Preston School District","=""1140011""","English Learner Status","N/A","*"
"Putnam School District","=""1160011""","English Learner Status","*","*"
"Redding School District","=""1170011""","English Learner Status","N/A","*"
"Ridgefield School District","=""1180011""","English Learner Status","*","*"
"Rocky Hill School District","=""1190011""","English Learner Status","*","*"
"Salisbury School District","=""1220011""","English Learner Status","N/A","*"
"Seymour School District","=""1240011""","English Learner Status","*","*"
"Sharon School District","=""1250011""","English Learner Status","N/A","*"
"Shelton School District","=""1260011""","English Learner Status",10,5.0
"Sherman School District","=""1270011""","English Learner Status","N/A","*"
