"District","District Code","English Learner Status","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","English Learner Status",7,5.3
"Achievement First Hartford Academy District","=""2880013""","English Learner Status","*","*"
"Amistad Academy District","=""2790013""","English Learner Status",14,11.2
"Andover School District","=""0010011""","English Learner Status","N/A","*"
"Ansonia School District","=""0020011""","English Learner Status","*","*"
"Area Cooperative Educational Services","=""2440014""","English Learner Status",7,12.5
"Ashford School District","=""0030011""","English Learner Status","N/A","*"
"Avon School District","=""0040011""","English Learner Status","*","*"
"Berlin School District","=""0070011""","English Learner Status","N/A","N/A"
"Bethany School District","=""0080011""","English Learner Status","N/A","*"
"Bethel School District","=""0090011""","English Learner Status",7,3.9
"Bloomfield School District","=""0110011""","English Learner Status","*","*"
"Bolton School District","=""0120011""","English Learner Status","N/A","*"
"Booker T. Washington Academy District","=""2950013""","English Learner Status","N/A","N/A"
"Bozrah School District","=""0130011""","English Learner Status","N/A","*"
"Branford School District","=""0140011""","English Learner Status","*","*"
"Brass City Charter School District","=""2900013""","English Learner Status","N/A","*"
"Bridgeport School District","=""0150011""","English Learner Status",292,7.8
"Bristol School District","=""0170011""","English Learner Status",33,8.0
"Brookfield School District","=""0180011""","English Learner Status","*","*"
"Brooklyn School District","=""0190011""","English Learner Status","*","*"
"Canaan School District","=""0210011""","English Learner Status","N/A","*"
"Canterbury School District","=""0220011""","English Learner Status","N/A","*"
"Canton School District","=""0230011""","English Learner Status","N/A","*"
"Capitol Region Education Council","=""2410014""","English Learner Status",37,7.6
"Chaplin School District","=""0240011""","English Learner Status","N/A","*"
"Cheshire School District","=""0250011""","English Learner Status","*","*"
"Chester School District","=""0260011""","English Learner Status","N/A","*"
"Clinton School District","=""0270011""","English Learner Status","*","*"
"Colchester School District","=""0280011""","English Learner Status","N/A","*"
"Columbia School District","=""0300011""","English Learner Status","N/A","*"
"Common Ground High School District","=""2680013""","English Learner Status","N/A","*"
"Connecticut Technical Education and Career System","=""9000016""","English Learner Status",62,16.5
"Cooperative Educational Services","=""2430014""","English Learner Status","N/A","N/A"
"Cornwall School District","=""0310011""","English Learner Status","N/A","*"
"Coventry School District","=""0320011""","English Learner Status","N/A","*"
"Cromwell School District","=""0330011""","English Learner Status","*","*"
"Danbury School District","=""0340011""","English Learner Status",188,6.1
"Darien School District","=""0350011""","English Learner Status","N/A","N/A"
"Deep River School District","=""0360011""","English Learner Status","N/A","*"
"Derby School District","=""0370011""","English Learner Status","*","*"
"East Granby School District","=""0400011""","English Learner Status","N/A","*"
"East Haddam School District","=""0410011""","English Learner Status","N/A","*"
"East Hampton School District","=""0420011""","English Learner Status","N/A","*"
"East Hartford School District","=""0430011""","English Learner Status",67,8.2
"East Haven School District","=""0440011""","English Learner Status",8,3.4
"East Lyme School District","=""0450011""","English Learner Status","N/A","N/A"
"East Windsor School District","=""0470011""","English Learner Status","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","English Learner Status","N/A","*"
"Easton School District","=""0460011""","English Learner Status","N/A","*"
"EdAdvance","=""2420014""","English Learner Status","N/A","*"
"Ellington School District","=""0480011""","English Learner Status","N/A","N/A"
"Elm City College Preparatory School District","=""2890013""","English Learner Status","*","*"
"Elm City Montessori School District","=""2910013""","English Learner Status","N/A","*"
"Enfield School District","=""0490011""","English Learner Status",9,8.0
"Essex School District","=""0500011""","English Learner Status","N/A","*"
"Fairfield School District","=""0510011""","English Learner Status",10,3.7
"Farmington School District","=""0520011""","English Learner Status","N/A","N/A"
"Glastonbury School District","=""0540011""","English Learner Status","N/A","N/A"
"Granby School District","=""0560011""","English Learner Status","N/A","*"
"Great Oaks Charter School District","=""2940013""","English Learner Status",9,16.1
"Greenwich School District","=""0570011""","English Learner Status",7,1.6
"Griswold School District","=""0580011""","English Learner Status","*","*"
"Groton School District","=""0590011""","English Learner Status",16,12.1
"Guilford School District","=""0600011""","English Learner Status","N/A","N/A"
"Hamden School District","=""0620011""","English Learner Status",28,7.4
